124;342_1963_35x22LBreuilD15_PC;1963_35x22LBreuilD15_342.jpeg;342;1963;35X22;LBreuilD15;paul;;Titre ?
125;;1963_65x50Amandier429.jpeg;429;1963;65X50;Amandier;;;
126;438_1963_46x27Durance_PC;;438;1963;46X27;Durance;paul;;
127;;1963_65x50LesPoires448.jpeg;448;1963;65X50;Les Poires;;;
128;465_1963_65X50_Les-roseaux_5_PC;1963_65x50Roseaux5_465.jpeg;465;1963;65X50;Roseaux;;;
129;;1963_65x50Village4_472.jpeg;472;1963;65X50;Village4;;;
130;;1963_65x50Village6_473.jpeg;473;1963;65X50;Village6;;;
131;478_1963_65X50_Village sous la neige_S;1963_65x50VillSousNeige478.jpeg;478;1963;65X50;Village sous la neige;sam;;
132;;1963_40x80LeCannier493.jpeg;493;1963;40X80;Le Cannier;;;
133;;1963_40x80LongueDurance495.jpeg;495;1963;40X80;Longue Durance;;;
134;501_1963_40x80NatureMorte_PC;1963_40x80NatureMorte_501.jpeg;501;1963;40X80;Nature morte;paul;;Numero de titre
135;;1963_100x50Ollivier_503.jpeg;503;1963;100X50;Ollivier;;;
136;;1963_46x70RteDleVillag_504.jpeg;504;1963;46X70;RteDleVillage;;;
137;512_1963_46x33Roseaux7_PC;1963_46x33Roseaux7_512.jpeg;512;1963;46X33;Roseaux;paul;;
138;;1963_100x73bourgogne_2_707_cliche_paul.jpeg;707;1963;100X73;Bourgogne;;;
139;1305_1963_65X50_Roseaux_PC;;1305;1963;65X50;Roseaux;paul;box;
140;;1963_65x50roseaux_H_cliche_paul.jpeg;;1963;65X50;Roseaux;;;
141;052_1964_46X27_Oliviers;1964_46x27Oliviers_052as.jpeg;52;1964;46X27;Oliviers;?;;
142;;1964_35x22Coulet5_058as.jpeg;58;1964;35X22;Coulet;;;
143;;1964_37x22Duranc7_081as.jpeg;81;1964;37X22;Durance;;;
144;;1964_100x73VillMorvan146.jpeg;146;1964;100X7;Vill Morvan;;;
145;;1964_35x22Durance16_349.jpeg;349;1964;35X22;Durance;;;
146;359_1964_35x22Village_PC;1964_35x22Village_359.jpeg;359;1964;35X22;Village;paul;;
147;430_1964_65X50_Arbres_PC;1964_65x50Arbres430.jpeg;430;1964;65X50;Arbres;paul;box;
148;;1964_65x50Nanou456.jpeg;456;1964;65X50;Nanou;;;
149;;1964_65x50Village476_coll_N_Ducourau.jpeg;476;1964;65X50;Village;;;
150;;1964_46x38LeBreuil_510.jpeg;510;1964;46X38;Le Breuil;;;
151;514_1964_55x38Amandiers_PC;1964_55x38Amandiers_514.jpeg;514;1964;55X38;Amandiers;paul;;Numero de titre
152;;1964_46x38Village11_516.jpeg;516;1964;46X38;Village;;;
153;;1964_55x38Village13_518.jpeg;518;1964;55X38;Village;;;
154;;1964_65x31Village9_521.jpeg;521;1964;65X31;Village;;;
155;522_1964_65X31_Village_10_PC;1964_65x31Village10_522.jpeg;522;1964;65X31;Village;paul;;box
156;;1964_46x38Village_525.jpeg;525;1964;46X38;Village;;;
157;634_1964_35x22DuranceD15_Ch;1964_35x22DuranceD15_634.jpeg;634;1964;35X22;DuranceD;paul;chateau;
158;651_1964_65x25Bourgogne_PC;1964_65x25Bourgogne_651.jpeg;651;1964;65X25;Bourgogne;paul;;
159;1009_1964_64X50_Le-Coulet_Coll-C-Blanpignon;;1009;1964;64X50;Le coulet;;;
160;quel numéro ?;1965_65X50_Roseaux-E10_Huile.jpeg;10;1965;65X50;Roseaux;;;
161;047_67X50_Luberon-9bis_Coll-S-Kaminka;1965_65x50Luber9b_047as.jpeg;47;1965;65X50;Luberon;sam;;
162;057_1965_65X50_Les-tournesols_Coll-S-Kaminka;1965_35x22Tournsol3_057as.jpeg;57;1965;65X50;Les tournesols;sam;;
163;;1965_65x50Tournsol2_057as.jpeg;57;1965;65X50;Tournsol;;;
164;441_1965_65X50_Irene_PC;1965_65x50Irene441.jpeg;441;1965;65X50;Irène;paul;box;
165;468_1965_65X50_Roseau-Sable_PC;1965_65x50RoseauSable468.jpeg;468;1965;65X50;RoseauSable;paul;box;
166;;1965_65x502tournesols572coll_G_Capanni.jpeg;572;1965;65X50;Tournesols;;;
167;;1965_35x22TournesNoir588coll_M_Fabre.jpeg;588;1965;35X22;Tournesnoir;;;
168;;1965-65x50roseaux_E4_H_cliche_paul;;1965;65X50;roseaux;;;
169;;1966_65x50RteCollet2_063as.jpeg;63;1966;65X50;Rte Coulet;;;
170;354_66_22X35_AMANDIERS_PC;;354;1966;22X35;Amandiers;paul;;Numero de titre
171;358_1966_35x22Amandiers_Ch;1966_35x22Amandiers_358.jpeg;358;1966;35X22;Amandiers;paul;chateau;Numero de titre
